완료,기능 ID,기능명,비고,속성,설명,예정 담당자,현재 담당자,우선순위,카테고리
No,CART-008,선택 상품 주문,사용자: 회원,"쇼핑몰, 회원",장바구니에서 선택한 상품만 주문한다.,곽정도,,상,장바구니
No,CART-011,할인 품목 할인 적용여부 및 할인된 가격표시,사용자: 시스템,쇼핑몰,할인 품목은 할인 적용 여부와 할인된 가격을 표시해 준다.,곽정도,,중,장바구니
No,ORD-001,주문서 작성,사용자: 회원,쇼핑몰,회원이 주문할 상품과 수량을 확인하고 주문서를 작성한다.,곽정도,,상,주문
No,ORD-006,주문 생성,사용자: 시스템,쇼핑몰,주문 완료 시 주문번호와 주문 내역을 생성한다.,곽정도,,상,주문
No,ORD-007,주문 상세 생성,사용자: 시스템,쇼핑몰,주문에 포함된 상품별 주문 상세 내역을 생성한다.,곽정도,,상,주문
No,ORD-010,주문 상태 관리,사용자: 시스템/관리자,쇼핑몰,"주문접수, 결제완료, 배송준비중, 배송중, 배송완료, 주문취소, 반품요청, 반품완료 상태를 관리한다.",곽정도,,상,주문
No,PAY-001,결제 진행,사용자: 회원,쇼핑몰,회원이 주문 상품에 대해 결제를 진행한다.,곽정도,,상,결제
No,PAY-002,결제수단 선택,사용자: 회원,쇼핑몰,API에 따라 결제에 사용할 결제 수단을 선택한다.,곽정도,,상,결제
No,PAY-003,쿠폰 적용,사용자: 회원,쇼핑몰,결제 화면에서 사용 가능한 쿠폰을 적용한다.,곽정도,,중,결제
No,PAY-004,결제 성공/실패 처리,사용자: 시스템,쇼핑몰,결제 성공 여부에 따라 주문 상태를 변경한다.,곽정도,,상,결제
No,PAY-005,결제 내역 저장,사용자: 시스템,쇼핑몰,결제 정보를 주문 내역과 연결하여 저장한다.,곽정도,,상,결제
No,PAY-006,결제 취소 처리,사용자: 시스템,쇼핑몰,결제 취소 시 결제 상태를 결제취소로 변경한다.,곽정도,,상,결제
No,PAY-007,재고 차감,사용자: 시스템,쇼핑몰,결제 완료 시 상품 재고를 차감한다.,곽정도,,상,결제
No,PAY-008,환불 처리,사용자: 시스템,쇼핑몰,반품 또는 주문취소 완료 시 환불완료 상태로 변경한다.,곽정도,,상,결제
No,PAY-009,재고 부족 처리,사용자: 시스템,쇼핑몰,결제 전 재고가 부족해진 경우 주문을 진행하지 못하도록 한다.,곽정도,,상,결제
No,CPN-002,쿠폰 적용,사용자: 회원,쇼핑몰,결제 화면에서 쿠폰을 선택하여 적용한다.,곽정도,,상,쿠폰
No,CPN-003,정률 할인 적용,사용자: 시스템,쇼핑몰,총 결제 금액 기준으로 n% 할인을 적용한다.,곽정도,,상,쿠폰
No,CPN-004,정액 할인 적용,사용자: 시스템,쇼핑몰,총 결제 금액 기준으로 n원 할인을 적용한다.,곽정도,,상,쿠폰
No,CPN-005,쿠폰 중복 사용 제한,사용자: 시스템,쇼핑몰,한 번의 결제당 쿠폰은 한 장만 사용할 수 있도록 제한한다.,곽정도,,상,쿠폰
No,CPN-006,쿠폰 최소 주문 금액 검증,사용자: 시스템,쇼핑몰,쿠폰의 최소 주문 금액 조건을 확인한다.,곽정도,,상,쿠폰
No,PRD-001,상품 목록 조회,사용자: 회원/비회원,쇼핑몰,"등록된 상품 목록을 조회한다. 상품명, 대표 이미지, 가격, 판매상태, 별점, 리뷰 수를 표시한다.",김민도,,상,상품
No,PRD-002,상품 정렬,사용자: 회원/비회원,쇼핑몰,"상품 목록을 판매량순, 가격순, 최신순, 별점순으로 정렬한다.",김민도,,중,상품
No,PRD-003,상품 필터링,사용자: 회원/비회원,쇼핑몰,"가격, 별점, 핫딜 여부, 카테고리 기준으로 상품 목록을 필터링한다.",김민도,,중,상품
No,PRD-004,상품 검색,사용자: 회원/비회원,쇼핑몰,상품명을 기준으로 상품을 검색한다. 검색어가 상품명에 포함된 상품을 조회한다.,김민도,,중,상품
No,PRD-005,최근 검색어 조회,사용자: 회원,쇼핑몰,회원 기준 최근 검색어를 최대 10개까지 조회한다.,김민도,,하,상품
No,PRD-006,최근 조회 상품 조회,사용자: 회원,쇼핑몰,회원 기준 최근 조회한 상품을 최대 10개까지 조회한다.,김민도,,하,상품
No,PRD-010,유사 상품 조회,사용자: 회원/비회원,쇼핑몰,선택한 상품과 유사한 상품 목록을 제공한다.,김민도,,하,상품
No,PRD-012,품절 상품 구매 제한,사용자: 시스템,쇼핑몰,품절 상품은 목록에는 표시하되 장바구니 담기와 바로구매를 제한한다.,김민도,,상,상품
No,PRD-013,판매중지 상품 숨김,사용자: 시스템,쇼핑몰,판매중지 또는 단종 상품은 일반 사용자에게 노출하지 않는다.,김민도,,중,상품
No,DLV-002,운송장 번호 등록,사용자: 판매처/시스템,쇼핑몰,판매처가 운송장 번호를 직접 입력하거나 시스템이 UUID 기반으로 자동 생성한다.,김민도,,상,배송
No,DLV-003,운송장 번호 중복 확인,사용자: 시스템,쇼핑몰,동일한 운송장 번호가 중복 등록되지 않도록 검증한다.,김민도,,중,배송
No,DLV-004,배송 상태 변경,사용자: 판매처/관리자,쇼핑몰,"배송 상태를 시작전, 배송중, 도착완료 단계로 변경한다.",김민도,,상,배송
No,DLV-005,배송 정보 조회,사용자: 회원/판매처/관리자,쇼핑몰,"주문 회원, 판매처, 관리자가 배송 정보를 조회한다.",김민도,,상,배송
No,DLV-006,배송 완료 처리,사용자: 판매처/시스템,쇼핑몰,배송중 상태의 상품을 도착완료 상태로 변경한다.,김민도,,상,배송
No,RTN-001,반품 요청,사용자: 회원,쇼핑몰,회원이 배송완료된 상품에 대해 반품을 요청한다.,김민도,,상,반품
No,RTN-002,반품 가능 기간 검증,사용자: 시스템,쇼핑몰,배송완료일 기준 7일 이내인지 확인한다.,김민도,,상,반품
No,RTN-003,반품 사유 입력,사용자: 회원,쇼핑몰,회원이 반품 요청 시 반품 사유를 입력한다.,김민도,,상,반품
No,RTN-007,반품 상태 변경(자동),사용자: 시스템/관리자,쇼핑몰,"반품요청, 반품중, 반품완료 상태로 변경한다.",김민도/곽정도,,상,반품
No,RTN-008,환불 연동(자동),사용자: 시스템,쇼핑몰,반품 승인 또는 완료 시 환불 절차를 진행한다.,김민도/곽정도,,상,반품
No,RTN-009,재고 복구(자동),사용자: 시스템,쇼핑몰,반품 완료 후 상품 상태에 따라 재고를 복구한다.,김민도/곽정도,,상,반품
No,CNL-001,주문취소 요청,사용자: 회원,회원,회원이 결제완료 후 배송 시작 전 주문취소를 요청한다.,김민도/곽정도,,상,주문취소
No,CNL-002,주문취소 가능 상태 검증,사용자: 시스템,회원,"결제완료, 배송시작 전 상태인지 확인한다.",김민도/곽정도,,상,주문취소
No,CNL-003,주문취소 불가 처리,사용자: 시스템,회원,"배송중, 배송완료, 반품중, 반품완료 상태에서는 주문취소를 제한한다.",김민도/곽정도,,상,주문취소
No,CNL-004,취소 사유 입력,사용자: 회원,회원,회원이 주문취소 사유를 입력한다.,김민도/곽정도,,상,주문취소
No,CNL-005,주문 상태 변경,사용자: 시스템,쇼핑몰,주문취소 완료 시 주문 상태를 주문취소 또는 취소완료로 변경한다.,김민도/곽정도,,상,주문취소
No,CNL-006,결제 취소/환불 처리,사용자: 시스템,쇼핑몰,주문취소 완료 시 결제취소 또는 환불완료 상태로 변경한다.,김민도/곽정도,,상,주문취소
No,CNL-007,재고 복구,사용자: 시스템,쇼핑몰,주문취소 완료 시 차감된 상품 재고를 복구한다.,김민도/곽정도,,상,주문취소
No,CNL-008,취소 내역 조회,사용자: 회원,회원,회원이 취소된 주문 상태를 주문 내역에서 확인한다.,김민도/곽정도,,상,주문취소
No,MEM-01,통합 회원가입 (구매자/판매처),[React 후보] 토글 전환 + 실시간 중복검사 / [Redis 후보] 이메일 인증 토큰 TTL 저장,회원,"단일 페이지 토글 방식으로 구매자/판매처 가입 폼 전환. 아이디·닉네임 중복 확인, 이메일 인증(1회용 토큰·30분 만료), 약관 동의(필수/선택 분리), 만 14세 미만 차단.",박지명,,상,회원가입
No,MEM-02,소셜 로그인 연동 가입,MEM-08(소셜 로그인)과 구현 공유,회원,네이버/구글 OAuth 2.0 + OIDC 기반 소셜 가입. provider별 sub를 unique key로 매핑 테이블 관리.,박지명,,중,회원가입
No,MEM-03,본인 인증 (개발/운영 분기),개발 단계 Mock 우선,회원,"개발: Mock 인증으로 인증 없이 가입. 운영: NICE/KCB 본인확인 API 연동, CI를 unique key로 중복 가입 차단, 이름·생년월일·성별·휴대폰 수신. IdentityVerificationService 인터페이스 환경별 주입.",박지명,,하,회원가입
No,MEM-04,신규회원 환영 쿠폰 자동 지급,쿠폰 도메인 연동,회원,가입 직후 10% 환영 쿠폰 자동 발급. user_id + coupon_type unique 제약으로 중복 발급 방지.,박지명,,중,회원가입
No,MEM-05,아이디/비밀번호 로그인,[Redis] 로그인 실패 카운트 + IP rate limit,회원,Spring Security 기반 로그인. 5회 오류 시 계정 10분 잠금 + IP rate limit 병행. 로그인 성공/실패 이력 별도 로그 테이블 기록. 계정 존재 여부 노출 방지(동일 오류 응답).,박지명,,상,로그인
No,MEM-06,세션 기반 인증,[Redis] 세션 저장소 핵심 / 인증 방식 세션 단독 확정(JWT 트랙 제외),회원,"Spring Security + Spring Session + Redis. 세션 데이터는 Redis 저장, 세션 ID는 HttpOnly·Secure 쿠키 전달. 슬라이딩 만료 30분. 자동 로그인: remember-me 토큰 14일. 강제 로그아웃: Redis 세션 키 삭제.",박지명,,상,로그인
No,MEM-08,소셜 로그인 (네이버/구글),MEM-02와 매핑 테이블 공유,회원,OAuth 2.0 + OIDC로 네이버/구글 로그인. provider별 sub → 매핑 테이블로 계정 연결. 신규 소셜 계정은 자동 회원가입.,박지명,,중,로그인
No,MEM-09,다중 디바이스 / 플랫폼별 세션 관리,"[Redis] user_id→[session_id] 매핑, device_type 단위 관리",회원,플랫폼별(PC/Android/iOS) 1개 세션 유지. 동일 플랫폼 새 로그인 시 기존 세션 강제 로그아웃 + 이메일/SMS 알림. 플랫폼 다르면 동시 로그인 허용.,박지명,,상,로그인
No,MEM-10,2단계 인증 (OTP/이메일 코드),선택 기능,회원,TOTP(RFC 6238) 기반 OTP 선택 적용. 복구 코드 10개 발급. 이메일 인증 코드 대체 가능.,박지명,,하,로그인
No,MEM-11,비밀번호 찾기,[Redis 후보] 재설정 토큰 TTL 저장,회원,아이디 + 이메일 인증 → 재설정 링크 발송. 개발: 이메일만. 운영: 이메일 + 휴대폰 본인인증. 재설정 링크 1회용 토큰·유효 1시간·사용 즉시 폐기·해시 저장.,박지명,,상,계정관리
No,MEM-12,아이디 찾기,,회원,"개발: 이름+이메일 인증. 운영: 이름+휴대폰 본인인증. 아이디 마스킹(앞 3자리만 노출, 예: hon********). 이메일형은 로컬 앞 2자리+도메인 노출. 가입일 함께 표시.",박지명,,중,계정관리
No,MEM-13,비밀번호 변경 권장 알림,Spring Scheduler,회원,마지막 변경일로부터 3개월마다 변경 권장 알림. 채널: 인앱 알림 + 이메일. 강제 변경 아님.,박지명,,하,계정관리
No,MEM-14,계정 잠금 / 해제,[Redis] 잠금 카운터/타이머 / 관리자 잠금(약관위반·사기신고) 제외 확정,회원,"일시잠금(5회 오류·10분 자동해제 or 이메일 링크), 장기잠금(누적 10회+이상접속·본인인증+비번재설정), 휴면잠금(본인인증 후 해제). 모든 잠금/해제 이벤트 감사로그 기록.",박지명,,중,계정관리
No,MEM-15,개인정보 조회 / 수정,SmsSender 인터페이스 추상화,회원,마이페이지 개인정보 변경. 진입 시 현재 비밀번호 재입력으로 본인 확인. 아이디·가입일 변경 불가. 중요 정보(비번/이메일/전화) 변경 시 기존 이메일·SMS로 변경 통보. 비번 bcrypt/Argon2 해시+salt.,박지명,,상,개인정보
No,MEM-16,개인정보 변경 감사로그,민감정보 마스킹 저장,회원,"모든 개인정보 변경 이력을 별도 audit log 테이블 저장. log_id, user_id, actor_id/type, target_field, old/new(민감정보는 '변경됨'만), ip, user_agent, device_type, changed_at, result, change_reason.",박지명,,중,개인정보
No,MEM-17,휴면 계정 전환 및 복구,휴면 예고 30일 전 1회만 발송으로 확정(7일 전 제외),회원,"1년 이상 미접속 시 스케줄러 일 1회 자동 휴면 전환. 전환 30일 전 이메일 사전 안내. 민감 개인정보는 dormant_users에 암호화 분리 보관, users는 식별자+비민감 정보 유지. 로그인 시 본인인증 후 복원.",박지명,,중,계정관리
No,MEM-18,회원 탈퇴 (유예기간 3일),soft delete + Scheduler,회원,"탈퇴 신청 시 3일 유예, 기간 내 복구 가능. 3일 경과 후 스케줄러가 개인정보 마스킹·분리. 전자상거래법상 거래이력 5년 보존.",박지명,,상,계정관리
No,MEM-19,배송지 관리,[React 후보] 주소검색 팝업 + 다건 배송지 즉시 편집,회원,"기본 배송지 1개 필수, 추가 최대 10개. 배송지별 별칭. 기본 배송지 삭제 시 자동 승격 또는 재지정 요청. 주소 입력: 다음·카카오 주소 API.",박지명,,상,마이페이지
No,MEM-20,결제수단 관리,[React 후보] 토스페이먼츠 결제위젯/빌링 SDK 연동 / Webhook 동기화,회원,토스페이먼츠 빌링키만 자체 DB 저장(카드번호 직접 저장 금지·PCI-DSS). 카드·계좌이체·간편결제(토스페이) 등록. 기본 결제수단 1개 지정. 추가·삭제·변경 시 이메일/SMS 알림 + 감사로그.,박지명,,상,마이페이지
No,MEM-21,주문·배송·취소·반품·교환·환불 내역 조회(공구 포함),"[Redis] 조회 캐싱·TTL 핵심, 캐시 키 user_id 포함",회원,"기간 필터(기본 1주일·최대 5년) + 주문 상태별 필터. 캐싱: 주문목록 1~5분 TTL, 배송조회 10~30분 TTL. 데이터 변경 이벤트 시 즉시 캐시 무효화(@CacheEvict).",박지명,,상,마이페이지
No,MEM-22,영수증 조회·발급·다운로드,Thymeleaf 적합(서버 PDF 렌더링),회원,"거래명세서(모든 결제)·현금영수증(계좌이체/가상계좌)·세금계산서(사업자). PDF: Thymeleaf + Flying Saucer, Noto Sans KR 임베딩. 최초 생성 PDF 스토리지 저장 후 재사용. 보관 5년.",박지명,,중,마이페이지
No,MEM-23,쿠폰함,쿠폰 도메인 연동,회원,보유 쿠폰 목록 조회. 쿠폰 종류·할인 정보·유효기간·사용 가능 여부 표시.,박지명,,중,마이페이지
No,MEM-24,위시리스트(찜) 관리,[React 후보] 하트 즉시 토글 + 무새로고침 정렬/필터,"쇼핑몰, 회원",비회원도 사용(로컬 저장 → 로그인 시 서버 병합). 찜 한도 100개. 정렬(최신/가격/할인율/별점)·필터(판매처/카테고리/가격대/재고/할인). 품절 별도 영역 + 대체 상품 추천. 가격인하·재입고·할인 시 푸시·이메일 알림.,박지명,,하,마이페이지
No,MEM-25,로그인 이력 / 신뢰 디바이스 관리,신뢰 디바이스 테이블,회원,로그인 성공·실패 이력 조회. 신뢰 디바이스/IP 목록 관리. 미승인 IP 로그인 후 정보 변경 시도 시 추가 이메일 인증 요구.,박지명,,중,마이페이지
No,MEM-26,장바구니 기본 기능,[React 강력 추천] 실시간 금액 재계산·다중 옵션 편집 등 클라이언트 상태 집약,"쇼핑몰, 회원","비회원도 사용(로컬 저장 → 로그인 시 병합, 동일 옵션 수량 합산). 옵션별 수정·삭제·선택. 예상 결제금액·할인·배송비 실시간 재계산. 쿠폰 시뮬레이션. 경고 배지(재고부족/품절/가격변동). 최대 50개. 30일 경과 배지.",박지명,,상,장바구니
No,MEM-28,1:1 문의 등록 및 조회,첨부 S3/NCP 저장,회원,카테고리(관리자 마스터 데이터·하드코딩 금지) 필수. 제목·본문·관련 주문번호(선택)·첨부 1장(5MB). 상태(RECEIVED/IN_PROGRESS/ANSWERED/CLOSED) 실시간 조회. 답변 후 7일 미응답 시 자동 CLOSED.,박지명,,상,1:1 문의
No,MEM-29,답변 SLA 관리 및 알림,알림 수신 동의 적용 확정 / 공휴일 API 연동,회원,"영업일 기준 72시간 내 1차 답변. 공휴일 마스터 테이블/공공데이터 API로 영업일 판정. SLA 마감 자동 계산, 임박/초과 시 담당 관리자 알림. 답변 완료 시 인앱·이메일 + (동의 시)SMS/푸시 알림.",박지명,,중,1:1 문의
No,MEM-37,멤버십 가입 / 해지,신규 추가 / 정책 미확정: 가격·주기·혜택 범위 정의 필요,회원,"단일 멤버십(등급제 없음) 가입·해지. 가입 시 혜택(예: 전용 쿠폰/적립/무료배송 등) 제공, 해지 시 다음 결제일까지 유지 후 종료. 가입/해지 이력 관리 및 알림.",박지명,,상,멤버십
No,MEM-38,멤버십 정기결제,신규 추가 / 정책 미확정: 결제 주기·금액·재시도 규칙 정의 필요,회원,"토스페이먼츠 빌링키 기반 정기결제(월/연 등). 결제 실패 시 재시도 정책, 결제 내역 조회, 갱신·만료 알림. 결제 상태 변경은 Webhook 수신 동기화.",박지명,,상,멤버십
No,CART-001,장바구니 담기,사용자: 회원,쇼핑몰,회원이 판매중 상태의 상품을 장바구니에 담는다.,박지명,,상,장바구니
No,CART-002,중복 상품 처리,사용자: 시스템,쇼핑몰,이미 담긴 상품을 다시 담으면 기존 수량에 추가하거나 안내 메시지를 표시한다.,박지명,,중,장바구니
No,CART-003,장바구니 목록 조회,사용자: 회원,회원,회원이 장바구니에 담은 상품 목록을 조회한다.,박지명,,상,장바구니
No,CART-004,상품 수량 변경,사용자: 회원,회원,장바구니 상품 수량을 증가 또는 감소시킨다.,박지명,,중,장바구니
No,CART-005,상품 개별 삭제,사용자: 회원,회원,장바구니 상품을 개별 삭제한다.,박지명,,상,장바구니
No,CART-006,선택 상품 삭제,사용자: 회원,회원,여러 상품을 선택하여 한 번에 삭제한다.,박지명,,중,장바구니
No,CART-007,전체 상품 삭제,사용자: 회원,회원,장바구니 전체 상품을 삭제한다.,박지명,,하,장바구니
No,ORD-008,주문 내역 조회,사용자: 회원,회원,회원이 마이페이지에서 자신의 주문 내역을 조회한다.,박지명,,상,주문
No,ORD-009,주문 상세 조회,사용자: 회원,회원,"주문 상품, 배송지, 결제상태, 배송상태, 취소/반품 상태를 조회한다.",박지명,,상,주문
No,REV-006,리뷰 삭제,사용자: 회원,회원,작성자 본인이 자신의 리뷰를 삭제한다.,박지명,,중,리뷰
No,REV-010,리뷰 신고,사용자: 회원,회원,회원이 부적절한 리뷰를 신고한다.,박지명,,없음,리뷰
No,MEM-27,장바구니 행동 로그 (Cart Event Log),도메인 이벤트 + 비동기 리스너,"쇼핑몰, 회원",cart_items는 HARD DELETE. 모든 변경 이벤트는 append-only cart_event_logs에 영구 기록(ADDED/REMOVED/QUANTITY_CHANGED/MOVED_TO_ORDER/EXPIRED). ApplicationEventPublisher → 비동기 리스너 INSERT. 보관 1년.,"박지명, 곽정도",,중,장바구니
No,PRD-007,상품 페이징,사용자: 회원/비회원,쇼핑몰,상품이 많을 경우 한 페이지당 20개씩 페이징하여 조회한다.,쇼핑몰 공통,,중,상품
No,PRD-008,상품 상세 조회,사용자: 회원/비회원,쇼핑몰,"선택한 상품의 상세 정보를 조회한다. 상품명, 가격, 이미지, 설명, 재고, 판매상태, 판매처 정보를 표시한다.",이세빈,,상,상품
No,PRD-009,상품 조회수 증가,사용자: 시스템,쇼핑몰,사용자가 상품 상세 페이지를 조회하면 조회수를 증가시킨다.,이세빈,,하,상품
No,PRD-011,상품 옵션 선택,사용자: 회원,쇼핑몰,"상품 상세 화면에서 색상, 사이즈 등의 옵션을 자유서식으로 만든다.",이세빈,,상,상품
No,PRD-M001,상품 등록,사용자: 판매처,쇼핑몰,"판매처가 상품명, 설명, 가격, 카테고리, 재고, 이미지 등을 입력하여 상품을 등록한다.",이세빈,,상,상품 관리
No,PRD-M002,상품 옵션 등록,사용자: 판매처,쇼핑몰,상품의 옵션을 자유양식으로 서술하여 최대 5개까지 등록할 수 있다.,이세빈,,상,상품 관리
No,PRD-M003,상품 이미지 등록,사용자: 판매처,쇼핑몰,"상품 이미지를 최소 1개 이상, 최대 10개까지 등록한다.",이세빈,,상,상품 관리
No,PRD-M004,대표 이미지 지정,사용자: 판매처,쇼핑몰,등록된 이미지 중 1개를 대표 이미지로 지정한다.,이세빈,,중,상품 관리
No,PRD-M005,판매처 상품 검색,사용자: 판매처,쇼핑몰,판매처가 자신의 상품을 상품명 기준으로 검색한다.,이세빈,,중,상품 관리
